"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5020","13","TISSUES","","Viscus","0.0065","DYNC1LI2|TERF2IP|TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|RPL32|SOD2|EIF3L","9858","6280|6316|6237|6309|6342|6313|6336|6331|6274|6314|6270|6330|6298","1.1E-4","","BTO:0001491","0.36961421551039947","0"
"670","6","UniProt Keywords","","RNA-binding","0.0069","GAR1|MRPL44|SF3B4|HNRNPA1|ANXA2|HNRNPK","9858","6277|6321|6339|6313|6336|6314","3.05E-5","","KW-0694","0.36523111709036016","0"
"985","7","COMPARTMENTS","","Extracellular space","0.0071","EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|SOD2","9858","6342|6313|6336|6331|6274|6314|6330","2.47E-5","","GOCC:0005615","0.3631339719370359","0"
"871","6","TISSUES","","Connective tissue","0.0072","TUBA1C|EEF1A1|HNRNPA1|ANXA2|HNRNPK|EIF3L","9858","6237|6342|6313|6336|6314|6298","1.3E-4","","BTO:0000421","0.36210745049200965","0"
"1756","8","TISSUES","","Testis","0.0072","DYNC1LI2|EEF1A1|HNRNPA1|ANXA2|HNRNPK|RPL32|SOD2|EIF3L","9858","6280|6342|6313|6336|6314|6270|6330|6298","1.3E-4","","BTO:0001363","0.36210745049200965","0"
"22","3","STRING Clusters","","Telomere Extension By Telomerase, and CST complex","0.008","GAR1|TERF2IP|CTC1","9858","6277|6316|6309","1.76E-6","","CL:5888","0.3543745062903351","0"
"927","6","TISSUES","","Trunk","0.0092","EEF1A1|ANXA2|S100A8|HNRNPK|RPL32|EIF3L","9858","6342|6336|6331|6314|6270|6298","1.8E-4","","BTO:0001493","0.344116666385539","0"
"119","3","TISSUES","","Tongue","0.0104","S100A8|HNRNPK|SOD2","9858","6331|6314|6330","2.1E-4","","BTO:0001385","0.3351182583024317","0"
"124","3","TISSUES","","Lung cancer cell","0.0114","CTC1|HNRNPK|RPL32","9858","6309|6314|6270","2.4E-4","","BTO:0000551","0.32838003524767245","0"
"3206","11","COMPARTMENTS","","Non-membrane-bounded organelle","0.0119","GAR1|DYNC1LI2|MRPL44|TERF2IP|TUBA1C|CTC1|EEF1A1|ANXA2|S100A8|HNRNPK|RPL32","9858","6277|6280|6321|6316|6237|6309|6342|6336|6331|6314|6270","4.79E-5","","GOCC:0043228","0.3252295478608299","0"
"3196","11","COMPARTMENTS","","Intracellular non-membrane-bounded organelle","0.0119","GAR1|DYNC1LI2|MRPL44|TERF2IP|TUBA1C|CTC1|EEF1A1|ANXA2|S100A8|HNRNPK|RPL32","9858","6277|6280|6321|6316|6237|6309|6342|6336|6331|6314|6270","4.65E-5","","GOCC:0043232","0.3252295478608299","0"
"9","2","COMPARTMENTS","","Shelterin complex","0.0119","TERF2IP|CTC1","9858","6316|6309","4.88E-5","","GOCC:0070187","0.3252295478608299","0"
"2543","9","TISSUES","","Hematopoietic system","0.0133","TUBA1C|EEF1A1|HNRNPA1|ANXA2|S100A8|KCNA3|HNRNPK|RPL32|EIF3L","9858","6237|6342|6313|6336|6331|6310|6314|6270|6298","2.9E-4","","BTO:0000570","0.31706613270731565","0"
"192","4","GO Cellular Component","","Spliceosomal complex","0.0142","SF3B4|HNRNPA1|HNRNPK|WBP4","9858","6339|6313|6314|6293","3.35E-5","","GO:0005681","0.3122603743910094","0"
"1496","7","TISSUES","","Lymphoid tissue","0.0155","EEF1A1|HNRNPA1|ANXA2|KCNA3|HNRNPK|RPL32|EIF3L","9858","6342|6313|6336|6310|6314|6270|6298","3.4E-4","","BTO:0000753","0.30583110721580986","0"
"13","2","COMPARTMENTS","","Telomere cap complex","0.0179","TERF2IP|CTC1","9858","6316|6309","9.29E-5","","GOCC:0000782","0.2952650999434076","0"
"13","2","COMPARTMENTS","","Nuclear telomere cap complex","0.0179","TERF2IP|CTC1","9858","6316|6309","9.29E-5","","GOCC:0000783","0.2952650999434076","0"
"13","2","COMPARTMENTS","","Chromosome, telomeric repeat region","0.0179","TERF2IP|CTC1","9858","6316|6309","9.29E-5","","GOCC:0140445","0.2952650999434076","0"
"6602","14","TISSUES","","Gland","0.0192","DYNC1LI2|SF3B4|TERF2IP|TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|RPL32|SOD2|EIF3L","9858","6280|6339|6316|6237|6309|6342|6313|6336|6331|6274|6314|6270|6330|6298","4.4E-4","","BTO:0000522","0.290119402241162","0"
"50","3","Reactome Pathways","","Extension of Telomeres","0.0206","GAR1|TERF2IP|CTC1","9858","6277|6316|6309","1.76E-5","","HSA-180786","0.28495379754731326","0"
"544","6","Reactome Pathways","","Cellular responses to stress","0.0206","DYNC1LI2|TERF2IP|TUBA1C|EEF1A1|RPL32|SOD2","9858","6280|6316|6237|6342|6270|6330","9.48E-6","","HSA-2262752","0.28495379754731326","0"
"178","4","Reactome Pathways","","mRNA Splicing - Major Pathway","0.0206","SF3B4|HNRNPA1|HNRNPK|WBP4","9858","6339|6313|6314|6293","2.51E-5","","HSA-72163","0.28495379754731326","0"
"659","6","Reactome Pathways","","Metabolism of RNA","0.0206","GAR1|SF3B4|HNRNPA1|HNRNPK|WBP4|RPL32","9858","6277|6339|6313|6314|6293|6270","2.78E-5","","HSA-8953854","0.28495379754731326","0"
"2132","8","TISSUES","","Embryonic structure","0.0211","DYNC1LI2|TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|RPL32|EIF3L","9858","6280|6316|6237|6342|6313|6336|6270|6298","5.0E-4","","BTO:0000174","0.2831936391653118","0"
"2383","9","UniProt Keywords","","Ubl conjugation","0.0235","GAR1|TERF2IP|EEF1A1|HNRNPA1|ANXA2|S100A10|HNRNPK|RPL32|SOD2","9858","6277|6316|6342|6313|6336|6274|6314|6270|6330","1.7E-4","","KW-0832","0.2752869787005475","0"
"170","3","TISSUES","","Lymph","0.0245","TUBA1C|EEF1A1|HNRNPA1","9858","6237|6342|6313","5.9E-4","","BTO:0000855","0.2722284075272109","0"
"13","2","Reactome Pathways","","Telomere C-strand synthesis initiation","0.0252","TERF2IP|CTC1","9858","6316|6309","9.29E-5","","HSA-174430","0.270160803564421","0"
"13","2","Reactome Pathways","","Dissolution of Fibrin Clot","0.0252","ANXA2|S100A10","9858","6336|6274","9.29E-5","","HSA-75205","0.270160803564421","0"
"3947","12","GO Molecular Function","","Nucleic acid binding","0.0255","GAR1|MRPL44|SF3B4|TERF2IP|CTC1|EEF1A1|HNRNPA1|ANXA2|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6321|6339|6316|6309|6342|6313|6336|6314|6293|6270|6298","5.51E-5","","GO:0003676","0.2692922125171015","0"
"13","2","GO Cellular Component","","Nuclear telomere cap complex","0.0279","TERF2IP|CTC1","9858","6316|6309","9.29E-5","","GO:0000783","0.2626904538714579","0"
"102","3","GO Cellular Component","","Nuclear chromosome, telomeric region","0.0279","GAR1|TERF2IP|CTC1","9858","6277|6316|6309","1.4E-4","","GO:0000784","0.2626904538714579","0"
"4880","13","GO Cellular Component","","Intracellular non-membrane-bounded organelle","0.0279","GAR1|DYNC1LI2|MRPL44|SF3B4|TERF2IP|TUBA1C|CTC1|EEF1A1|ANXA2|S100A8|HNRNPK|RPL32|EIF3L","9858","6277|6280|6321|6339|6316|6237|6309|6342|6336|6331|6314|6270|6298","8.22E-5","","GO:0043232","0.2626904538714579","0"
"1203","6","TISSUES","","Skeletal system","0.0287","TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|S100A8","9858","6237|6309|6342|6313|6336|6331","7.4E-4","","BTO:0001486","0.2606155429160898","0"
"289","4","Reactome Pathways","","Translation","0.0315","MRPL44|EEF1A1|RPL32|EIF3L","9858","6321|6342|6270|6298","1.6E-4","","HSA-72766","0.25378316322636235","0"
"6036","13","TISSUES","","Endocrine gland","0.0319","DYNC1LI2|SF3B4|TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|RPL32|SOD2|EIF3L","9858","6280|6339|6316|6237|6342|6313|6336|6331|6274|6314|6270|6330|6298","8.4E-4","","BTO:0001488","0.25285702996763454","0"
"318","4","GO Cellular Component","","Chromosomal region","0.0353","GAR1|DYNC1LI2|TERF2IP|CTC1","9858","6277|6280|6316|6309","2.3E-4","","GO:0098687","0.24542379911776865","0"
"6","2","STRING Clusters","","Mixed, incl. anxa2-p11 complex, and annexin a1","0.0377","ANXA2|S100A10","9858","6336|6274","2.49E-5","","CL:17924","0.24059608090814577","0"
"22","2","Reactome Pathways","","Telomere Extension By Telomerase","0.0406","GAR1|TERF2IP","9858","6277|6316","2.4E-4","","HSA-171319","0.23515691985254578","0"
"126","3","Reactome Pathways","","HCMV Infection","0.0406","DYNC1LI2|TUBA1C|HNRNPK","9858","6280|6237|6314","2.5E-4","","HSA-9609646","0.23515691985254578","0"
"5831","14","GO Molecular Function","","Heterocyclic compound binding","0.0409","GAR1|DYNC1LI2|MRPL44|SF3B4|TERF2IP|TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6280|6321|6339|6316|6237|6309|6342|6313|6336|6314|6293|6270|6298","1.0E-4","","GO:1901363","0.23461658548405612","0"
"3341","10","UniProt Keywords","","Acetylation","0.042","SF3B4|TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|S100A10|HNRNPK|SOD2|EIF3L","9858","6339|6316|6237|6342|6313|6336|6274|6314|6330|6298","4.4E-4","","KW-0007","0.23266871252154114","0"
"5916","14","GO Molecular Function","","Organic cyclic compound binding","0.0432","GAR1|DYNC1LI2|MRPL44|SF3B4|TERF2IP|TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6280|6321|6339|6316|6237|6309|6342|6313|6336|6314|6293|6270|6298","1.2E-4","","GO:0097159","0.23060110855875132","0"
"647","5","Reactome Pathways","","Cell Cycle","0.046","GAR1|DYNC1LI2|TERF2IP|TUBA1C|CTC1","9858","6277|6280|6316|6237|6309","3.2E-4","","HSA-1640170","0.22599183095542724","0"
"26","2","Reactome Pathways","","Polymerase switching on the C-strand of the telomere","0.046","TERF2IP|CTC1","9858","6316|6309","3.3E-4","","HSA-174411","0.22599183095542724","0"
