Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
NA,MUSNIGG00023940,-2.256956035,-4.779819157,0.004237416,0.13471104,DOWN
FAM71D,MUSNIGG00023984,-2.614100563,-6.122413829,0.012008736,0.207866518,DOWN
CPSF2,MUSNIGG00024052,-2.925969944,-7.599844731,0.007247649,0.164731621,DOWN
FAM161B,MUSNIGG00024257,-3.052480892,-8.296373768,0.017635753,0.240955912,DOWN
DICER1,MUSNIGG00024349,-1.962795392,-3.898165633,0.01851864,0.246779902,DOWN
PRDM11,MUSNIGG00024648,-3.306469322,-9.893419982,0.025910276,0.275094762,DOWN
FNBP4,MUSNIGG00024697,-2.313052564,-4.96933418,0.0303291,0.29155289,DOWN
LRRC4C,MUSNIGG00024774,-1.957783725,-3.884647591,0.040468853,0.323750823,DOWN
PRDM11,MUSNIGG00024835,-3.306469322,-9.893419982,0.025910276,0.275094762,DOWN
FNBP4,MUSNIGG00024885,-2.313052564,-4.96933418,0.0303291,0.29155289,DOWN
PTPRJ,MUSNIGG00024889,-2.039360564,-4.110632976,0.038170832,0.314741984,DOWN
OR4C5,MUSNIGG00024899,-2.07320925,-4.208217437,0.019969357,0.254444097,DOWN
UBD,MUSNIGG00024962,-3.753786372,-13.48970012,0.000829141,0.067215698,DOWN
OR1L4,MUSNIGG00025119,-2.621715854,-6.15481654,0.003798699,0.126927052,DOWN
CCT4,MUSNIGG00025139,-2.806148014,-6.994146496,0.037384083,0.312339459,DOWN
C2ORF78,MUSNIGG00025737,-2.262010058,-4.796593096,0.040114561,0.322507806,DOWN
RALGDS,MUSNIGG00025789,-3.157940337,-8.925545456,0.013363436,0.216665836,DOWN
COG2,MUSNIGG00025895,-3.247580543,-9.497715507,0.017078605,0.236660975,DOWN
IFT172,MUSNIGG00026055,-2.384332973,-5.221024662,0.02270562,0.267127672,DOWN
C2ORF78,MUSNIGG00026107,-2.000646262,-4.00179222,0.04522561,0.339471242,DOWN
C2ORF16,MUSNIGG00026151,-2.207766292,-4.619594731,0.001755767,0.092236895,DOWN
SPATA31D1,MUSNIGG00026274,-1.47746299,-2.784586271,0.034902739,0.304169097,DOWN
CTAGE5,MUSNIGG00026807,-2.12947179,-4.375572497,0.028860683,0.286998055,DOWN
DNAH7,MUSNIGG00027042,-2.094029446,-4.269388492,0.001364225,0.083322588,DOWN
NIF3L1,MUSNIGG00027124,-2.609412723,-6.102552167,0.003604634,0.125429538,DOWN
ALS2,MUSNIGG00027140,-2.689719948,-6.451881532,0.003475173,0.125429538,DOWN
FAM117B,MUSNIGG00027153,-3.721510134,-13.19125693,0.000462434,0.053994158,DOWN
DYTN,MUSNIGG00027202,-2.88710582,-7.397848829,0.001202352,0.082799472,DOWN
GPR55,MUSNIGG00027513,-4.697904262,-25.95434658,0.000336279,0.046733116,DOWN
DIS3L2,MUSNIGG00027536,-2.863741778,-7.279007634,0.005862888,0.148945969,DOWN
ASB18,MUSNIGG00027602,-3.606386791,-12.17953198,0.038513068,0.315347862,DOWN
IQCA1,MUSNIGG00027603,-2.173820463,-4.512166995,0.017576344,0.240820662,DOWN
HDLBP,MUSNIGG00027703,-3.076638192,-8.436462526,0.030629837,0.29155289,DOWN
KCNJ3,MUSNIGG00027775,-3.120152819,-8.69479986,0.000111225,0.024590748,DOWN
CYTIP,MUSNIGG00027800,-1.899602604,-3.731104078,0.014276688,0.222963108,DOWN
Sep-02,MUSNIGG00027818,-1.998605612,-3.996135803,0.01641689,0.236416612,DOWN
SLC38A11,MUSNIGG00027875,-2.54526067,-5.837135953,0.013204708,0.216665836,DOWN
SCN3A,MUSNIGG00027877,-2.066073872,-4.187455537,0.005542245,0.148163528,DOWN
CYBRD1,MUSNIGG00027940,-4.191264696,-18.26822674,0.001513849,0.087659059,DOWN
NFE2L2,MUSNIGG00028033,-2.1519396,-4.444248848,0.017893582,0.241689236,DOWN
NA,MUSNIGG00028053,-1.411696246,-2.660497865,0.025523596,0.275094762,DOWN
ZNF804A,MUSNIGG00028122,-2.87144093,-7.317956959,0.000154837,0.028966511,DOWN
STEAP3,MUSNIGG00028368,-3.132740616,-8.770995616,0.002623895,0.112374316,DOWN
SDCBP,MUSNIGG00028760,-1.852678439,-3.611700942,0.006141988,0.151647877,DOWN
