Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
CCNT2,MUSNIGG00028287,1.78435768,3.444650661,0.035232848,0.304748079,UP
ARHGEF4,MUSNIGG00028512,2.271067384,4.826801118,0.008218982,0.176110698,UP
CHD7,MUSNIGG00028788,1.472981614,2.775950061,0.014666366,0.225221108,UP
XKR9,MUSNIGG00028910,1.653546959,3.146061687,0.035297969,0.304748079,UP
HNRPDL,MUSNIGG00028973,1.795156822,3.470531978,0.029134092,0.287440619,UP
TALDO1,MUSNIGG00029932,5.306631974,39.57814179,0.015581022,0.232939801,UP
OR5W2,MUSNIGG00030560,2.577522931,5.969139336,0.006272162,0.152496882,UP
KCNA4,MUSNIGG00030719,2.254981705,4.773282443,0.011166739,0.198229992,UP
KCNC1,MUSNIGG00030835,4.517859824,22.90927383,0.000816517,0.067215698,UP
OR5AK2,MUSNIGG00030958,2.461967327,5.509675406,0.02758441,0.280434491,UP
OR52N1,MUSNIGG00031054,2.027987292,4.078354806,0.03442871,0.303371825,UP
OR52J3,MUSNIGG00031159,1.642707953,3.12251381,0.022046393,0.265429835,UP
OLFR561,MUSNIGG00031176,1.634724433,3.105282307,0.040373736,0.323521993,UP
OLFR549,MUSNIGG00031194,1.91028294,3.758828102,0.042154199,0.328949172,UP
RHOG,MUSNIGG00031210,2.98619752,7.923827753,0.008490077,0.178769409,UP
ENDOD1,MUSNIGG00031533,2.004933662,4.013702431,0.031893354,0.297409441,UP
MAML2,MUSNIGG00031545,1.449263043,2.73068527,0.031137424,0.294082389,UP
APLP2,MUSNIGG00031693,4.182483161,18.15736767,0.04810413,0.348182276,UP
OR8D4,MUSNIGG00031828,2.15045225,4.439669399,0.011469812,0.201273104,UP
EXTL3,MUSNIGG00032489,1.539858499,2.907659835,0.032589853,0.299654149,UP
TLR2,MUSNIGG00032854,2.254200775,4.770699365,0.011058425,0.198229992,UP
DMP1,MUSNIGG00032915,1.808836722,3.503596716,0.027502227,0.280434491,UP
SMARCAD1,MUSNIGG00032968,2.762490645,6.785667056,0.006240679,0.152496882,UP
NDST3,MUSNIGG00033239,1.841951117,3.584945327,0.023540992,0.267410591,UP
TRPC3,MUSNIGG00033274,1.456848746,2.74508105,0.04155932,0.327624848,UP
KIAA0232,MUSNIGG00033608,2.18277602,4.540263474,0.030310169,0.29155289,UP
LIMCH1,MUSNIGG00033971,3.207130708,9.235120004,0.011115583,0.198229992,UP
GABRA4,MUSNIGG00034018,1.396939038,2.633422565,0.047045309,0.345140846,UP
TMPRSS11E,MUSNIGG00034211,2.305786961,4.944370867,0.034537548,0.30378053,UP
ABL2,MUSNIGG00034924,2.317406542,4.984354022,0.006333135,0.152496882,UP
OR6K2,MUSNIGG00035617,2.531067988,5.779993972,0.020905644,0.259400641,UP
S100A8,MUSNIGG00035802,4.943163432,30.76383452,0.01245224,0.212518227,UP
ZNF79,MUSNIGG00036125,2.280514015,4.858510259,0.031631757,0.295878584,UP
TXN,MUSNIGG00036364,5.603039447,48.60522305,0.005726093,0.148163528,UP
ABCA1,MUSNIGG00036431,2.434141874,5.404427782,0.014691349,0.225221108,UP
HEMGN,MUSNIGG00036530,2.523799949,5.750948621,0.008947561,0.182095976,UP
TSTD2,MUSNIGG00036539,2.460388437,5.503648896,0.006256066,0.152496882,UP
CCIN,MUSNIGG00036569,2.459292509,5.499469698,0.025810481,0.275094762,UP
VCP,MUSNIGG00036614,4.076373228,16.86982647,0.005995103,0.148945969,UP
FRMD3,MUSNIGG00037060,1.979709988,3.944137884,0.043540897,0.333516411,UP
XDH,MUSNIGG00038017,4.916556239,30.2016662,0.023641598,0.267410591,UP
ZNF638,MUSNIGG00038453,1.716258621,3.285831776,0.01728026,0.237439497,UP
NA,MUSNIGG00038498,2.785070949,6.892708238,0.036730447,0.30802913,UP
FOXN2,MUSNIGG00038737,1.714869489,3.28266946,0.036570269,0.307215525,UP
VSX1,MUSNIGG00038994,2.668229516,6.356486365,0.012329934,0.212518227,UP
TTI1,MUSNIGG00039503,2.994822083,7.971338994,0.001208627,0.082799472,UP
C20ORF111,MUSNIGG00039590,3.288312635,9.769688983,0.002044452,0.097492311,UP
SLPI,MUSNIGG00039618,4.909389357,30.05200531,0.002072262,0.097859073,UP
KCNG1,MUSNIGG00039746,4.653670673,25.17065183,0.006805157,0.15913599,UP
XKR8,MUSNIGG00040645,5.547079472,46.75599563,0.003921776,0.128023605,UP
ZNF643,MUSNIGG00040899,2.247849588,4.749743442,0.02508863,0.275094762,UP
SERBP1,MUSNIGG00041304,2.626665027,6.17596693,0.035915977,0.30636889,UP
IFI44,MUSNIGG00041405,2.053733333,4.151789595,0.045118872,0.339471242,UP
ZNF644,MUSNIGG00041568,1.675712652,3.194771285,0.038242704,0.314741984,UP
PTBP2,MUSNIGG00041644,2.189278185,4.560772428,0.029952729,0.290687103,UP
PALMD,MUSNIGG00041674,2.536946778,5.803594728,0.004481422,0.137959733,UP
TTF2,MUSNIGG00041955,2.082150822,4.234380226,0.047418118,0.346497369,UP
S100A10,MUSNIGG00042130,3.201368921,9.198310647,0.016836931,0.236416612,UP
FAM50B,MUSNIGG00042250,2.63219132,6.199669549,0.009612451,0.186480709,UP
RREB1,MUSNIGG00042297,3.795382515,13.88429978,0.001279425,0.083322588,UP
BTNL1,MUSNIGG00042864,2.129381917,4.375299928,0.031934348,0.297409441,UP
DNAJA1,MUSNIGG00042973,2.894766372,7.43723507,0.005200204,0.145232541,UP
TDRD6,MUSNIGG00043262,1.305737353,2.472100428,0.047420092,0.346497369,UP
TBCC,MUSNIGG00043353,4.06855128,16.7786098,0.012929944,0.215411224,UP
TRERF1,MUSNIGG00043358,2.720488118,6.590957729,0.007216091,0.164731621,UP
